content_id,course_id,content_title,duration_seconds,sequence
CONT00037,C004,Deep Learning — Lecture 8: Overview,3016,8
CONT00038,C004,Deep Learning — Lecture 9: Deep Dive,708,9
CONT00039,C004,Deep Learning — Lecture 10: Summary,2862,10
CONT00040,C004,Deep Learning — Lecture 11: Examples,2240,11
CONT00041,C005,Calculus I — Lecture 1: Overview,2309,1
CONT00042,C005,Calculus I — Lecture 2: Overview,1661,2
CONT00043,C005,Calculus I — Lecture 3: Overview,1325,3
CONT00044,C005,Calculus I — Lecture 4: Overview,3121,4
CONT00045,C005,Calculus I — Lecture 5: Case Study,2784,5
CONT00046,C005,Calculus I — Lecture 6: Deep Dive,788,6
CONT00047,C006,Deep Learning — Lecture 1: Summary,2568,1
CONT00048,C006,Deep Learning — Lecture 2: Case Study,852,2
CONT00049,C006,Deep Learning — Lecture 3: Examples,359,3
CONT00050,C006,Deep Learning — Lecture 4: Overview,1597,4
CONT00051,C006,Deep Learning — Lecture 5: Summary,2556,5
CONT00052,C006,Deep Learning — Lecture 6: Examples,2740,6
CONT00053,C006,Deep Learning — Lecture 7: Exercise,2645,7
CONT00054,C006,Deep Learning — Lecture 8: Overview,1203,8
CONT00055,C006,Deep Learning — Lecture 9: Case Study,2721,9
CONT00056,C006,Deep Learning — Lecture 10: Deep Dive,1930,10
CONT00057,C006,Deep Learning — Lecture 11: Case Study,1706,11
CONT00058,C006,Deep Learning — Lecture 12: Examples,2795,12
CONT00059,C007,Project Management — Lecture 1: Overview,1095,1
CONT00060,C007,Project Management — Lecture 2: Summary,1681,2
CONT00061,C007,Project Management — Lecture 3: Case Study,350,3
CONT00062,C007,Project Management — Lecture 4: Exercise,2470,4
CONT00063,C007,Project Management — Lecture 5: Examples,362,5
CONT00064,C007,Project Management — Lecture 6: Summary,2200,6
CONT00065,C007,Project Management — Lecture 7: Deep Dive,746,7
CONT00066,C007,Project Management — Lecture 8: Exercise,2324,8
CONT00067,C007,Project Management — Lecture 9: Case Study,2514,9
CONT00068,C007,Project Management — Lecture 10: Overview,2258,10
CONT00069,C007,Project Management — Lecture 11: Overview,893,11
CONT00070,C008,Project Management — Lecture 1: Deep Dive,1556,1
CONT00071,C008,Project Management — Lecture 2: Deep Dive,2918,2
CONT00072,C008,Project Management — Lecture 3: Exercise,3465,3
CONT00073,C008,Project Management — Lecture 4: Examples,2788,4
CONT00074,C008,Project Management — Lecture 5: Deep Dive,3558,5
CONT00075,C008,Project Management — Lecture 6: Examples,457,6
CONT00076,C008,Project Management — Lecture 7: Summary,1695,7
CONT00077,C008,Project Management — Lecture 8: Case Study,1467,8
CONT00078,C008,Project Management — Lecture 9: Examples,3376,9
CONT00079,C008,Project Management — Lecture 10: Case Study,1385,10
CONT00080,C008,Project Management — Lecture 11: Case Study,859,11
CONT00081,C008,Project Management — Lecture 12: Case Study,1194,12
CONT00082,C009,Thermodynamics — Lecture 1: Case Study,1386,1
CONT00083,C009,Thermodynamics — Lecture 2: Case Study,454,2
CONT00084,C009,Thermodynamics — Lecture 3: Summary,882,3
CONT00085,C009,Thermodynamics — Lecture 4: Case Study,3310,4
CONT00086,C009,Thermodynamics — Lecture 5: Examples,383,5
CONT00087,C009,Thermodynamics — Lecture 6: Summary,3596,6
CONT00088,C009,Thermodynamics — Lecture 7: Deep Dive,1690,7
CONT00089,C009,Thermodynamics — Lecture 8: Case Study,774,8
CONT00090,C009,Thermodynamics — Lecture 9: Overview,302,9
CONT00091,C009,Thermodynamics — Lecture 10: Summary,1547,10
CONT00092,C009,Thermodynamics — Lecture 11: Case Study,2372,11
CONT00093,C010,Mobile App Development — Lecture 1: Deep Dive,2146,1
CONT00094,C010,Mobile App Development — Lecture 2: Examples,2332,2
CONT00095,C010,Mobile App Development — Lecture 3: Overview,2568,3
CONT00096,C010,Mobile App Development — Lecture 4: Examples,2275,4
CONT00097,C010,Mobile App Development — Lecture 5: Overview,1913,5
CONT00098,C010,Mobile App Development — Lecture 6: Overview,2715,6
CONT00099,C010,Mobile App Development — Lecture 7: Case Study,2875,7
CONT00100,C010,Mobile App Development — Lecture 8: Deep Dive,2153,8
CONT00101,C010,Mobile App Development — Lecture 9: Deep Dive,476,9
CONT00102,C010,Mobile App Development — Lecture 10: Case Study,2399,10
CONT00103,C011,Photography — Lecture 1: Examples,3103,1
CONT00104,C011,Photography — Lecture 2: Overview,946,2
CONT00105,C011,Photography — Lecture 3: Examples,824,3
CONT00106,C011,Photography — Lecture 4: Summary,2158,4
CONT00107,C011,Photography — Lecture 5: Summary,2070,5
CONT00108,C011,Photography — Lecture 6: Overview,2395,6
CONT00109,C011,Photography — Lecture 7: Case Study,1139,7
CONT00110,C011,Photography — Lecture 8: Examples,3536,8
CONT00111,C011,Photography — Lecture 9: Deep Dive,856,9
CONT00112,C012,Human-Computer Interaction — Lecture 1: Overview,724,1
CONT00113,C012,Human-Computer Interaction — Lecture 2: Examples,912,2
CONT00114,C012,Human-Computer Interaction — Lecture 3: Examples,729,3
CONT00115,C012,Human-Computer Interaction — Lecture 4: Summary,2588,4
CONT00116,C012,Human-Computer Interaction — Lecture 5: Examples,675,5
CONT00117,C012,Human-Computer Interaction — Lecture 6: Overview,965,6
CONT00118,C012,Human-Computer Interaction — Lecture 7: Case Study,3501,7
CONT00119,C012,Human-Computer Interaction — Lecture 8: Examples,1421,8
CONT00120,C012,Human-Computer Interaction — Lecture 9: Summary,1103,9
CONT00121,C013,Human-Computer Interaction — Lecture 1: Case Study,1633,1
CONT00122,C013,Human-Computer Interaction — Lecture 2: Examples,1824,2
CONT00123,C013,Human-Computer Interaction — Lecture 3: Examples,3144,3
CONT00124,C013,Human-Computer Interaction — Lecture 4: Examples,1443,4
CONT00125,C013,Human-Computer Interaction — Lecture 5: Summary,768,5
CONT00126,C013,Human-Computer Interaction — Lecture 6: Exercise,3214,6
CONT00127,C014,Graphic Design — Lecture 1: Deep Dive,1626,1
CONT00128,C014,Graphic Design — Lecture 2: Exercise,742,2
CONT00129,C014,Graphic Design — Lecture 3: Overview,826,3
CONT00130,C014,Graphic Design — Lecture 4: Deep Dive,2366,4
CONT00131,C014,Graphic Design — Lecture 5: Examples,830,5
CONT00132,C014,Graphic Design — Lecture 6: Deep Dive,936,6
CONT00133,C014,Graphic Design — Lecture 7: Examples,2455,7
CONT00134,C014,Graphic Design — Lecture 8: Case Study,3236,8
CONT00135,C014,Graphic Design — Lecture 9: Case Study,2577,9
CONT00136,C014,Graphic Design — Lecture 10: Case Study,3255,10
CONT00137,C014,Graphic Design — Lecture 11: Examples,3516,11
CONT00138,C014,Graphic Design — Lecture 12: Exercise,3420,12
CONT00139,C015,Mobile App Development — Lecture 1: Exercise,2611,1
CONT00140,C015,Mobile App Development — Lecture 2: Examples,3335,2
CONT00141,C015,Mobile App Development — Lecture 3: Deep Dive,2084,3
CONT00142,C015,Mobile App Development — Lecture 4: Exercise,959,4
CONT00143,C015,Mobile App Development — Lecture 5: Deep Dive,1722,5
CONT00144,C015,Mobile App Development — Lecture 6: Exercise,1374,6
CONT00145,C015,Mobile App Development — Lecture 7: Case Study,2156,7
CONT00146,C015,Mobile App Development — Lecture 8: Case Study,2952,8
CONT00147,C016,Thermodynamics — Lecture 1: Summary,1662,1
CONT00148,C016,Thermodynamics — Lecture 2: Deep Dive,2920,2
CONT00149,C016,Thermodynamics — Lecture 3: Case Study,1224,3
CONT00150,C016,Thermodynamics — Lecture 4: Examples,513,4
CONT00151,C016,Thermodynamics — Lecture 5: Deep Dive,3472,5
CONT00152,C016,Thermodynamics — Lecture 6: Case Study,2045,6
CONT00153,C017,Digital Marketing — Lecture 1: Exercise,3162,1
CONT00154,C017,Digital Marketing — Lecture 2: Examples,813,2
CONT00155,C017,Digital Marketing — Lecture 3: Exercise,2625,3
CONT00156,C017,Digital Marketing — Lecture 4: Examples,1327,4
CONT00157,C017,Digital Marketing — Lecture 5: Exercise,1921,5
CONT00158,C017,Digital Marketing — Lecture 6: Examples,2452,6
CONT00159,C017,Digital Marketing — Lecture 7: Overview,2631,7
CONT00160,C017,Digital Marketing — Lecture 8: Overview,319,8
CONT00161,C018,Digital Marketing — Lecture 1: Deep Dive,333,1
CONT00162,C018,Digital Marketing — Lecture 2: Summary,1864,2
CONT00163,C018,Digital Marketing — Lecture 3: Case Study,2478,3
CONT00164,C018,Digital Marketing — Lecture 4: Summary,534,4
CONT00165,C018,Digital Marketing — Lecture 5: Case Study,483,5
CONT00166,C018,Digital Marketing — Lecture 6: Overview,1047,6
CONT00167,C018,Digital Marketing — Lecture 7: Deep Dive,2598,7
CONT00168,C018,Digital Marketing — Lecture 8: Exercise,2975,8
CONT00169,C019,Machine Learning — Lecture 1: Overview,3289,1
CONT00170,C019,Machine Learning — Lecture 2: Case Study,3103,2
CONT00171,C019,Machine Learning — Lecture 3: Examples,2276,3
CONT00172,C019,Machine Learning — Lecture 4: Deep Dive,475,4
CONT00173,C019,Machine Learning — Lecture 5: Case Study,2210,5
CONT00174,C019,Machine Learning — Lecture 6: Overview,1556,6
CONT00175,C019,Machine Learning — Lecture 7: Summary,839,7
CONT00176,C019,Machine Learning — Lecture 8: Overview,375,8
CONT00177,C019,Machine Learning — Lecture 9: Case Study,3059,9
CONT00178,C019,Machine Learning — Lecture 10: Overview,3129,10
CONT00179,C020,Web Development — Lecture 1: Deep Dive,1870,1
CONT00180,C020,Web Development — Lecture 2: Deep Dive,916,2
CONT00181,C020,Web Development — Lecture 3: Overview,3441,3
CONT00182,C020,Web Development — Lecture 4: Case Study,2181,4
CONT00183,C020,Web Development — Lecture 5: Case Study,870,5
CONT00184,C020,Web Development — Lecture 6: Summary,1626,6
CONT00185,C020,Web Development — Lecture 7: Examples,3371,7
CONT00186,C020,Web Development — Lecture 8: Overview,3024,8
CONT00187,C021,World History — Lecture 1: Summary,2346,1
CONT00188,C021,World History — Lecture 2: Deep Dive,1783,2
CONT00189,C021,World History — Lecture 3: Overview,2092,3
CONT00190,C021,World History — Lecture 4: Exercise,723,4
CONT00191,C021,World History — Lecture 5: Overview,3137,5
CONT00192,C021,World History — Lecture 6: Exercise,2444,6
CONT00193,C021,World History — Lecture 7: Summary,2831,7
CONT00194,C021,World History — Lecture 8: Overview,2012,8
CONT00195,C021,World History — Lecture 9: Exercise,2354,9
CONT00196,C022,Microeconomics — Lecture 1: Deep Dive,1832,1
CONT00197,C022,Microeconomics — Lecture 2: Exercise,3373,2
CONT00198,C022,Microeconomics — Lecture 3: Case Study,1825,3
CONT00199,C022,Microeconomics — Lecture 4: Exercise,1665,4
CONT00200,C022,Microeconomics — Lecture 5: Exercise,739,5
CONT00201,C022,Microeconomics — Lecture 6: Case Study,1803,6
CONT00202,C022,Microeconomics — Lecture 7: Examples,3349,7
CONT00203,C023,Algorithms — Lecture 1: Overview,587,1
CONT00204,C023,Algorithms — Lecture 2: Examples,2469,2
CONT00205,C023,Algorithms — Lecture 3: Exercise,2398,3
CONT00206,C023,Algorithms — Lecture 4: Overview,2823,4
CONT00207,C023,Algorithms — Lecture 5: Exercise,2841,5
CONT00208,C023,Algorithms — Lecture 6: Deep Dive,2310,6
CONT00209,C023,Algorithms — Lecture 7: Deep Dive,926,7
CONT00210,C023,Algorithms — Lecture 8: Examples,1600,8
CONT00211,C023,Algorithms — Lecture 9: Case Study,2558,9
CONT00212,C023,Algorithms — Lecture 10: Examples,735,10
CONT00213,C023,Algorithms — Lecture 11: Examples,1015,11
CONT00214,C024,Deep Learning — Lecture 1: Examples,1308,1
CONT00215,C024,Deep Learning — Lecture 2: Deep Dive,520,2
CONT00216,C024,Deep Learning — Lecture 3: Overview,1725,3
CONT00217,C024,Deep Learning — Lecture 4: Case Study,3098,4
CONT00218,C024,Deep Learning — Lecture 5: Examples,984,5
CONT00219,C024,Deep Learning — Lecture 6: Deep Dive,2630,6
CONT00220,C024,Deep Learning — Lecture 7: Examples,1070,7
CONT00221,C025,Macroeconomics — Lecture 1: Summary,3076,1
CONT00222,C025,Macroeconomics — Lecture 2: Exercise,2006,2
CONT00223,C025,Macroeconomics — Lecture 3: Summary,1694,3
CONT00224,C025,Macroeconomics — Lecture 4: Overview,3297,4
CONT00225,C025,Macroeconomics — Lecture 5: Overview,1832,5
CONT00226,C025,Macroeconomics — Lecture 6: Summary,2147,6
CONT00227,C025,Macroeconomics — Lecture 7: Deep Dive,862,7
CONT00228,C026,Macroeconomics — Lecture 1: Deep Dive,2998,1
CONT00229,C026,Macroeconomics — Lecture 2: Case Study,1977,2
CONT00230,C026,Macroeconomics — Lecture 3: Summary,3543,3
CONT00231,C026,Macroeconomics — Lecture 4: Case Study,406,4
CONT00232,C026,Macroeconomics — Lecture 5: Deep Dive,398,5
CONT00233,C026,Macroeconomics — Lecture 6: Deep Dive,323,6
CONT00234,C027,Digital Marketing — Lecture 1: Summary,966,1
CONT00235,C027,Digital Marketing — Lecture 2: Summary,2306,2
CONT00236,C027,Digital Marketing — Lecture 3: Case Study,1677,3
CONT00237,C027,Digital Marketing — Lecture 4: Overview,2306,4
CONT00238,C027,Digital Marketing — Lecture 5: Exercise,3393,5
CONT00239,C027,Digital Marketing — Lecture 6: Case Study,792,6
CONT00240,C027,Digital Marketing — Lecture 7: Exercise,2855,7
CONT00241,C027,Digital Marketing — Lecture 8: Case Study,3071,8
CONT00242,C027,Digital Marketing — Lecture 9: Exercise,1439,9
CONT00243,C027,Digital Marketing — Lecture 10: Exercise,1718,10
CONT00244,C027,Digital Marketing — Lecture 11: Exercise,3054,11
CONT00245,C027,Digital Marketing — Lecture 12: Examples,2659,12
CONT00246,C028,Project Management — Lecture 1: Examples,3588,1
CONT00247,C028,Project Management — Lecture 2: Overview,2790,2
CONT00248,C028,Project Management — Lecture 3: Examples,2742,3
CONT00249,C028,Project Management — Lecture 4: Deep Dive,639,4
CONT00250,C028,Project Management — Lecture 5: Summary,2304,5
CONT00251,C028,Project Management — Lecture 6: Case Study,3453,6
CONT00252,C028,Project Management — Lecture 7: Overview,3538,7
CONT00253,C028,Project Management — Lecture 8: Deep Dive,3248,8
CONT00254,C029,French Basics — Lecture 1: Summary,1831,1
CONT00255,C029,French Basics — Lecture 2: Deep Dive,758,2
CONT00256,C029,French Basics — Lecture 3: Case Study,1329,3
CONT00257,C029,French Basics — Lecture 4: Examples,1422,4
CONT00258,C029,French Basics — Lecture 5: Summary,622,5
CONT00259,C029,French Basics — Lecture 6: Deep Dive,2795,6
CONT00260,C029,French Basics — Lecture 7: Overview,1019,7
CONT00261,C029,French Basics — Lecture 8: Overview,2719,8
CONT00262,C029,French Basics — Lecture 9: Examples,725,9
CONT00263,C029,French Basics — Lecture 10: Case Study,3230,10
CONT00264,C029,French Basics — Lecture 11: Exercise,2625,11
CONT00265,C030,English Literature — Lecture 1: Overview,2395,1
CONT00266,C030,English Literature — Lecture 2: Deep Dive,516,2
CONT00267,C030,English Literature — Lecture 3: Summary,2785,3
CONT00268,C030,English Literature — Lecture 4: Exercise,1579,4
CONT00269,C030,English Literature — Lecture 5: Deep Dive,2360,5
CONT00270,C030,English Literature — Lecture 6: Case Study,2809,6
CONT00271,C031,Statistics — Lecture 1: Deep Dive,2411,1
CONT00272,C031,Statistics — Lecture 2: Exercise,871,2
CONT00273,C031,Statistics — Lecture 3: Case Study,2385,3
CONT00274,C031,Statistics — Lecture 4: Exercise,3023,4
CONT00275,C031,Statistics — Lecture 5: Summary,1863,5
CONT00276,C031,Statistics — Lecture 6: Deep Dive,473,6
CONT00277,C032,Game Design — Lecture 1: Overview,1158,1
CONT00278,C032,Game Design — Lecture 2: Examples,1344,2
CONT00279,C032,Game Design — Lecture 3: Case Study,992,3
CONT00280,C032,Game Design — Lecture 4: Case Study,3316,4
CONT00281,C032,Game Design — Lecture 5: Overview,1900,5
CONT00282,C032,Game Design — Lecture 6: Deep Dive,3116,6
CONT00283,C032,Game Design — Lecture 7: Overview,2120,7
CONT00284,C033,Cloud Computing — Lecture 1: Overview,1297,1
CONT00285,C033,Cloud Computing — Lecture 2: Examples,2416,2
CONT00286,C033,Cloud Computing — Lecture 3: Overview,1565,3
CONT00287,C033,Cloud Computing — Lecture 4: Exercise,889,4
CONT00288,C033,Cloud Computing — Lecture 5: Examples,3292,5
CONT00289,C033,Cloud Computing — Lecture 6: Examples,900,6
CONT00290,C034,Cybersecurity Basics — Lecture 1: Overview,1948,1
CONT00291,C034,Cybersecurity Basics — Lecture 2: Summary,3197,2
CONT00292,C034,Cybersecurity Basics — Lecture 3: Examples,3385,3
CONT00293,C034,Cybersecurity Basics — Lecture 4: Case Study,3064,4
CONT00294,C034,Cybersecurity Basics — Lecture 5: Examples,3165,5
CONT00295,C034,Cybersecurity Basics — Lecture 6: Deep Dive,3556,6
CONT00296,C034,Cybersecurity Basics — Lecture 7: Deep Dive,2473,7
CONT00297,C034,Cybersecurity Basics — Lecture 8: Case Study,1886,8
CONT00298,C034,Cybersecurity Basics — Lecture 9: Examples,610,9
CONT00299,C034,Cybersecurity Basics — Lecture 10: Overview,3566,10
CONT00300,C034,Cybersecurity Basics — Lecture 11: Summary,3087,11
CONT00301,C034,Cybersecurity Basics — Lecture 12: Examples,572,12
CONT00302,C035,Digital Marketing — Lecture 1: Deep Dive,2250,1
CONT00303,C035,Digital Marketing — Lecture 2: Overview,334,2
CONT00304,C035,Digital Marketing — Lecture 3: Summary,321,3
CONT00305,C035,Digital Marketing — Lecture 4: Case Study,1186,4
CONT00306,C035,Digital Marketing — Lecture 5: Overview,835,5
CONT00307,C035,Digital Marketing — Lecture 6: Overview,3564,6
CONT00308,C035,Digital Marketing — Lecture 7: Summary,457,7
CONT00309,C035,Digital Marketing — Lecture 8: Examples,758,8
CONT00310,C035,Digital Marketing — Lecture 9: Overview,3394,9
CONT00311,C035,Digital Marketing — Lecture 10: Examples,3024,10
CONT00312,C035,Digital Marketing — Lecture 11: Exercise,825,11
CONT00313,C036,Algorithms — Lecture 1: Summary,2125,1
CONT00314,C036,Algorithms — Lecture 2: Deep Dive,1784,2
CONT00315,C036,Algorithms — Lecture 3: Deep Dive,1927,3
CONT00316,C036,Algorithms — Lecture 4: Deep Dive,3000,4
CONT00317,C036,Algorithms — Lecture 5: Examples,1090,5
CONT00318,C036,Algorithms — Lecture 6: Case Study,1240,6
CONT00319,C036,Algorithms — Lecture 7: Overview,2503,7
CONT00320,C036,Algorithms — Lecture 8: Deep Dive,3557,8
CONT00321,C036,Algorithms — Lecture 9: Overview,2134,9
CONT00322,C036,Algorithms — Lecture 10: Case Study,1895,10
CONT00323,C036,Algorithms — Lecture 11: Deep Dive,513,11
CONT00324,C037,Digital Marketing — Lecture 1: Deep Dive,3577,1
CONT00325,C037,Digital Marketing — Lecture 2: Overview,2400,2
CONT00326,C037,Digital Marketing — Lecture 3: Overview,2240,3
CONT00327,C037,Digital Marketing — Lecture 4: Case Study,2005,4
CONT00328,C037,Digital Marketing — Lecture 5: Overview,2796,5
CONT00329,C037,Digital Marketing — Lecture 6: Exercise,2249,6
CONT00330,C038,French Basics — Lecture 1: Deep Dive,2123,1
CONT00331,C038,French Basics — Lecture 2: Deep Dive,2764,2
CONT00332,C038,French Basics — Lecture 3: Case Study,1395,3
CONT00333,C038,French Basics — Lecture 4: Overview,1140,4
CONT00334,C038,French Basics — Lecture 5: Deep Dive,3237,5
CONT00335,C038,French Basics — Lecture 6: Case Study,1736,6
CONT00336,C038,French Basics — Lecture 7: Examples,2765,7
CONT00337,C038,French Basics — Lecture 8: Summary,2351,8
CONT00338,C038,French Basics — Lecture 9: Overview,1808,9
CONT00339,C038,French Basics — Lecture 10: Deep Dive,3191,10
CONT00340,C038,French Basics — Lecture 11: Overview,3144,11
CONT00341,C039,NLP Fundamentals — Lecture 1: Case Study,2040,1
CONT00342,C039,NLP Fundamentals — Lecture 2: Overview,1222,2
CONT00343,C039,NLP Fundamentals — Lecture 3: Case Study,2691,3
CONT00344,C039,NLP Fundamentals — Lecture 4: Exercise,2182,4
CONT00345,C039,NLP Fundamentals — Lecture 5: Case Study,945,5
CONT00346,C039,NLP Fundamentals — Lecture 6: Exercise,2564,6
CONT00347,C039,NLP Fundamentals — Lecture 7: Case Study,424,7
CONT00348,C039,NLP Fundamentals — Lecture 8: Exercise,3500,8
CONT00349,C039,NLP Fundamentals — Lecture 9: Summary,1271,9
CONT00350,C039,NLP Fundamentals — Lecture 10: Overview,1027,10
CONT00351,C040,Calculus I — Lecture 1: Overview,872,1
CONT00352,C040,Calculus I — Lecture 2: Overview,2184,2
CONT00353,C040,Calculus I — Lecture 3: Summary,1969,3
CONT00354,C040,Calculus I — Lecture 4: Deep Dive,2326,4
CONT00355,C040,Calculus I — Lecture 5: Summary,1470,5
CONT00356,C040,Calculus I — Lecture 6: Examples,2976,6
CONT00357,C040,Calculus I — Lecture 7: Deep Dive,823,7
CONT00358,C040,Calculus I — Lecture 8: Deep Dive,688,8
CONT00359,C040,Calculus I — Lecture 9: Summary,1724,9
CONT00360,C040,Calculus I — Lecture 10: Case Study,2096,10
CONT00361,C041,Entrepreneurship — Lecture 1: Case Study,1585,1
CONT00362,C041,Entrepreneurship — Lecture 2: Exercise,2391,2
CONT00363,C041,Entrepreneurship — Lecture 3: Case Study,2852,3
CONT00364,C041,Entrepreneurship — Lecture 4: Exercise,356,4
CONT00365,C041,Entrepreneurship — Lecture 5: Case Study,3122,5
CONT00366,C041,Entrepreneurship — Lecture 6: Exercise,2622,6
CONT00367,C041,Entrepreneurship — Lecture 7: Overview,1700,7
CONT00368,C042,Digital Marketing — Lecture 1: Overview,462,1
CONT00369,C042,Digital Marketing — Lecture 2: Deep Dive,1813,2
CONT00370,C042,Digital Marketing — Lecture 3: Case Study,1214,3
CONT00371,C042,Digital Marketing — Lecture 4: Deep Dive,2787,4
CONT00372,C042,Digital Marketing — Lecture 5: Exercise,359,5
CONT00373,C042,Digital Marketing — Lecture 6: Examples,411,6
CONT00374,C042,Digital Marketing — Lecture 7: Exercise,1675,7
CONT00375,C042,Digital Marketing — Lecture 8: Case Study,1896,8
CONT00376,C042,Digital Marketing — Lecture 9: Deep Dive,976,9
CONT00377,C042,Digital Marketing — Lecture 10: Exercise,877,10
CONT00378,C043,French Basics — Lecture 1: Deep Dive,568,1
CONT00379,C043,French Basics — Lecture 2: Overview,3500,2
CONT00380,C043,French Basics — Lecture 3: Exercise,2393,3
CONT00381,C043,French Basics — Lecture 4: Deep Dive,746,4
CONT00382,C043,French Basics — Lecture 5: Summary,586,5
CONT00383,C043,French Basics — Lecture 6: Case Study,1369,6
CONT00384,C043,French Basics — Lecture 7: Deep Dive,1752,7
CONT00385,C043,French Basics — Lecture 8: Case Study,2360,8
CONT00386,C043,French Basics — Lecture 9: Examples,3390,9
CONT00387,C044,Machine Learning — Lecture 1: Examples,2580,1
CONT00388,C044,Machine Learning — Lecture 2: Deep Dive,2689,2
CONT00389,C044,Machine Learning — Lecture 3: Overview,1348,3
CONT00390,C044,Machine Learning — Lecture 4: Overview,2311,4
CONT00391,C044,Machine Learning — Lecture 5: Examples,3215,5
CONT00392,C044,Machine Learning — Lecture 6: Examples,385,6
CONT00393,C045,Web Development — Lecture 1: Overview,1332,1
CONT00394,C045,Web Development — Lecture 2: Exercise,487,2
CONT00395,C045,Web Development — Lecture 3: Exercise,2025,3
CONT00396,C045,Web Development — Lecture 4: Deep Dive,1086,4
CONT00397,C045,Web Development — Lecture 5: Summary,2349,5
CONT00398,C045,Web Development — Lecture 6: Summary,1386,6
CONT00399,C045,Web Development — Lecture 7: Summary,2830,7
CONT00400,C045,Web Development — Lecture 8: Examples,1197,8
CONT00401,C046,Human-Computer Interaction — Lecture 1: Summary,2886,1
CONT00402,C046,Human-Computer Interaction — Lecture 2: Overview,2976,2
CONT00403,C046,Human-Computer Interaction — Lecture 3: Examples,2041,3
CONT00404,C046,Human-Computer Interaction — Lecture 4: Deep Dive,2703,4
CONT00405,C046,Human-Computer Interaction — Lecture 5: Overview,1391,5
CONT00406,C046,Human-Computer Interaction — Lecture 6: Examples,2889,6
CONT00407,C046,Human-Computer Interaction — Lecture 7: Exercise,2478,7
CONT00408,C046,Human-Computer Interaction — Lecture 8: Examples,1187,8
CONT00409,C047,Thermodynamics — Lecture 1: Overview,1713,1
CONT00410,C047,Thermodynamics — Lecture 2: Exercise,2919,2
CONT00411,C047,Thermodynamics — Lecture 3: Deep Dive,1963,3
CONT00412,C047,Thermodynamics — Lecture 4: Summary,527,4
CONT00413,C047,Thermodynamics — Lecture 5: Exercise,1793,5
CONT00414,C047,Thermodynamics — Lecture 6: Summary,3022,6
CONT00415,C047,Thermodynamics — Lecture 7: Case Study,608,7
CONT00416,C047,Thermodynamics — Lecture 8: Overview,2753,8
CONT00417,C047,Thermodynamics — Lecture 9: Deep Dive,1374,9
CONT00418,C047,Thermodynamics — Lecture 10: Overview,3592,10
CONT00419,C047,Thermodynamics — Lecture 11: Exercise,1504,11
CONT00420,C048,Cloud Computing — Lecture 1: Summary,894,1
CONT00421,C048,Cloud Computing — Lecture 2: Overview,2130,2
CONT00422,C048,Cloud Computing — Lecture 3: Case Study,920,3
CONT00423,C048,Cloud Computing — Lecture 4: Summary,3399,4
CONT00424,C048,Cloud Computing — Lecture 5: Examples,3093,5
CONT00425,C048,Cloud Computing — Lecture 6: Deep Dive,3287,6
CONT00426,C048,Cloud Computing — Lecture 7: Summary,2268,7
