enrollment_id,user_id,course_id,enrollment_date,status,progress_percent
E000106,S3111,C007,2021-12-16,in_progress,32
E000107,S3963,C074,2025-10-13,enrolled,26
E000108,S3858,C102,2024-04-10,completed,94
E000109,S4955,C116,2024-08-27,in_progress,3
E000110,S4067,C126,2024-12-25,completed,61
E000111,S2248,C131,2024-12-20,completed,6
E000112,S4932,C031,2025-09-04,in_progress,32
E000113,S2040,C198,2025-05-18,in_progress,44
E000114,S2340,C121,2025-06-12,enrolled,75
E000115,S3827,C030,2025-01-07,enrolled,5
E000116,S3579,C001,2023-05-23,enrolled,12
E000117,S0902,C190,2025-08-01,completed,89
E000118,S4363,C158,2023-08-18,completed,17
E000119,S3173,C127,2025-10-27,enrolled,57
E000120,S2107,C015,2024-12-26,enrolled,65
E000121,S1873,C051,2024-08-02,completed,25
E000122,S0925,C004,2021-07-19,in_progress,39
E000123,S1635,C194,2023-10-27,dropped,30
E000124,S4465,C033,2024-08-12,enrolled,95
E000125,S0585,C122,2022-05-11,completed,23
E000126,S3261,C174,2024-11-12,dropped,48
E000127,S2113,C076,2022-05-18,completed,77
E000128,S0416,C192,2024-08-11,in_progress,45
E000129,S0622,C080,2025-06-16,enrolled,41
E000130,S4396,C035,2024-06-28,completed,45
E000131,S4511,C017,2025-09-25,enrolled,91
E000132,S1005,C004,2023-02-19,completed,74
E000133,S2734,C052,2025-10-25,enrolled,83
E000134,S2440,C140,2025-08-21,enrolled,93
E000135,S3210,C133,2023-09-26,completed,87
E000136,S2120,C189,2025-09-21,in_progress,11
E000137,S0277,C057,2025-10-15,in_progress,31
E000138,S1305,C177,2021-09-15,enrolled,77
E000139,S4386,C050,2025-04-10,enrolled,32
E000140,S0789,C022,2025-08-26,completed,74
E000141,S1728,C170,2021-11-27,enrolled,69
E000142,S1070,C099,2025-07-30,enrolled,85
E000143,S0138,C193,2025-07-25,enrolled,48
E000144,S1875,C131,2024-03-25,enrolled,98
E000145,S1127,C119,2022-08-31,enrolled,74
E000146,S2472,C162,2021-12-04,in_progress,79
E000147,S2318,C058,2023-08-21,enrolled,53
E000148,S4311,C128,2025-01-30,enrolled,9
E000149,S1756,C165,2023-05-20,completed,23
E000150,S1544,C004,2024-04-15,completed,94
E000151,S0977,C060,2022-06-20,in_progress,59
E000152,S4436,C046,2024-02-23,enrolled,21
E000153,S2992,C144,2025-04-08,in_progress,40
E000154,S3671,C132,2025-04-02,completed,100
E000155,S3141,C021,2024-11-12,in_progress,22
E000156,S4757,C124,2024-12-19,enrolled,12
E000157,S4614,C159,2025-01-28,enrolled,15
E000158,S4632,C079,2025-06-12,enrolled,63
E000159,S1595,C032,2025-04-17,enrolled,10
E000160,S0315,C138,2025-10-05,enrolled,0
E000161,S4766,C083,2025-09-24,enrolled,91
E000162,S2584,C045,2024-10-05,enrolled,82
E000163,S3655,C092,2025-09-21,dropped,47
E000164,S3394,C108,2025-07-14,dropped,2
E000165,S3356,C127,2023-06-12,in_progress,94
E000166,S1755,C144,2025-06-15,enrolled,84
E000167,S2945,C196,2024-02-28,enrolled,95
E000168,S0024,C121,2023-03-08,dropped,30
E000169,S1801,C004,2022-10-02,enrolled,26
E000170,S1983,C099,2025-05-18,in_progress,1
E000171,S2410,C073,2024-09-09,in_progress,60
E000172,S0652,C120,2025-03-26,completed,64
E000173,S2748,C064,2025-10-20,completed,94
E000174,S1632,C058,2023-09-12,in_progress,7
E000175,S1373,C181,2023-01-01,enrolled,75
E000176,S4928,C107,2025-06-12,enrolled,78
E000177,S4495,C102,2025-10-06,in_progress,56
E000178,S3879,C050,2025-06-10,in_progress,61
E000179,S1516,C183,2022-03-25,completed,22
E000180,S2842,C015,2025-07-25,enrolled,50
E000181,S0827,C018,2025-06-16,in_progress,30
E000182,S0459,C057,2023-05-06,in_progress,29
E000183,S4264,C198,2025-05-06,in_progress,57
E000184,S0865,C127,2025-01-13,in_progress,69
E000185,S3248,C183,2025-02-01,enrolled,12
E000186,S1946,C011,2024-10-17,enrolled,3
E000187,S1640,C033,2024-08-12,completed,40
E000188,S3726,C148,2025-08-26,in_progress,39
E000189,S4071,C166,2024-08-06,enrolled,4
E000190,S2504,C093,2025-05-29,completed,82
E000191,S4548,C047,2024-04-02,enrolled,79
E000192,S3281,C046,2025-03-23,in_progress,17
E000193,S2510,C124,2025-06-15,in_progress,80
E000194,S3797,C026,2024-02-20,in_progress,31
E000195,S4778,C118,2024-12-24,completed,59
E000196,S2412,C152,2025-10-25,in_progress,72
E000197,S4147,C101,2025-06-12,dropped,23
E000198,S2390,C095,2024-02-07,enrolled,28
E000199,S0661,C185,2025-09-04,enrolled,28
E000200,S1293,C099,2023-05-27,completed,96
E000201,S4689,C200,2023-05-12,completed,86
E000202,S1501,C090,2023-05-04,in_progress,52
E000203,S0553,C177,2021-10-14,enrolled,68
E000204,S0199,C130,2024-06-10,completed,11
E000205,S3902,C189,2022-12-01,completed,77
E000206,S2608,C055,2023-11-04,enrolled,52
E000207,S0918,C096,2025-02-26,completed,61
E000208,S0290,C079,2024-06-12,in_progress,91
E000209,S2079,C131,2025-10-25,in_progress,43
E000210,S3082,C023,2023-02-20,completed,80
E000211,S4605,C005,2025-06-18,dropped,28
E000212,S1367,C058,2023-08-05,enrolled,73
E000213,S2772,C162,2022-03-29,in_progress,44
E000214,S4372,C120,2025-04-20,enrolled,29
E000215,S1694,C004,2023-10-23,completed,38
E000216,S2846,C110,2021-10-27,enrolled,90
E000217,S1650,C062,2023-09-05,in_progress,18
E000218,S1105,C144,2025-03-01,dropped,36
E000219,S0958,C084,2024-01-04,enrolled,36
E000220,S3591,C063,2024-12-17,dropped,15
E000221,S4841,C010,2024-12-06,enrolled,55
E000222,S3782,C017,2022-11-17,dropped,22
E000223,S4153,C007,2024-12-15,completed,57
E000224,S0111,C007,2024-05-16,completed,47
E000225,S2972,C059,2024-04-22,enrolled,88
E000226,S1843,C107,2023-03-02,completed,51
E000227,S3478,C116,2025-05-24,enrolled,40
E000228,S2003,C048,2024-01-29,enrolled,71
E000229,S1425,C088,2023-11-26,enrolled,32
E000230,S2995,C036,2024-11-28,completed,5
E000231,S3428,C157,2025-09-18,completed,84
E000232,S2303,C080,2025-09-09,in_progress,1
E000233,S1941,C127,2025-01-22,enrolled,25
E000234,S2693,C111,2023-07-16,enrolled,15
E000235,S2980,C081,2021-10-14,enrolled,97
E000236,S0539,C026,2025-04-09,enrolled,62
E000237,S2677,C049,2023-03-07,enrolled,9
E000238,S1605,C181,2025-06-21,completed,2
E000239,S4788,C088,2025-06-22,in_progress,22
E000240,S3122,C056,2025-06-13,enrolled,87
E000241,S3850,C127,2024-10-28,enrolled,62
E000242,S0394,C162,2025-06-25,enrolled,53
E000243,S2749,C150,2025-03-24,completed,70
E000244,S1458,C070,2023-11-23,dropped,42
E000245,S1162,C173,2025-06-25,enrolled,15
E000246,S4575,C153,2025-06-05,completed,2
E000247,S3201,C120,2024-10-14,enrolled,27
E000248,S0765,C174,2025-03-02,in_progress,22
E000249,S1296,C041,2025-08-26,enrolled,25
E000250,S4345,C143,2025-08-13,enrolled,45
E000251,S2893,C074,2025-02-14,enrolled,37
E000252,S3244,C129,2025-10-22,enrolled,78
E000253,S3069,C006,2024-01-07,enrolled,77
E000254,S3695,C116,2024-01-03,enrolled,64
E000255,S3976,C031,2023-12-08,in_progress,15
E000256,S3006,C142,2024-05-01,dropped,28
E000257,S0617,C175,2024-12-07,completed,99
E000258,S2747,C077,2025-06-08,enrolled,65
E000259,S1115,C063,2021-09-26,in_progress,66
E000260,S1478,C051,2025-06-08,enrolled,67
E000261,S4136,C099,2021-07-08,completed,28
E000262,S3181,C008,2025-10-21,completed,95
E000263,S0622,C126,2022-08-19,enrolled,7
E000264,S3320,C133,2025-05-17,enrolled,31
E000265,S0486,C110,2025-10-11,completed,44
E000266,S0571,C160,2025-08-19,enrolled,20
E000267,S3857,C081,2022-11-21,completed,23
E000268,S4417,C023,2023-11-18,enrolled,75
E000269,S3037,C170,2025-08-02,in_progress,45
E000270,S2556,C185,2025-07-29,completed,81
E000271,S2546,C134,2024-08-15,completed,54
E000272,S3847,C098,2024-06-15,completed,40
E000273,S3294,C023,2025-09-13,in_progress,26
E000274,S2525,C001,2025-05-11,in_progress,90
E000275,S2820,C185,2024-07-06,enrolled,51
E000276,S3591,C152,2023-10-09,in_progress,8
E000277,S4460,C120,2025-09-08,in_progress,35
E000278,S1895,C079,2025-08-23,in_progress,93
E000279,S3819,C021,2024-10-05,enrolled,52
E000280,S4509,C149,2025-04-28,in_progress,48
E000281,S1801,C055,2022-05-20,in_progress,51
E000282,S2292,C113,2023-01-27,dropped,43
E000283,S2128,C194,2024-12-07,in_progress,99
E000284,S0363,C012,2022-09-25,enrolled,10
E000285,S0668,C050,2022-12-21,completed,43
E000286,S4291,C128,2023-10-13,enrolled,39
E000287,S0025,C187,2022-12-29,enrolled,25
E000288,S3781,C192,2025-06-25,completed,70
E000289,S4114,C077,2025-01-05,completed,42
E000290,S4709,C072,2025-08-12,enrolled,32
E000291,S1751,C141,2025-06-22,enrolled,99
E000292,S3221,C175,2025-09-22,in_progress,28
E000293,S2451,C012,2022-06-09,in_progress,64
E000294,S3618,C159,2025-03-23,dropped,12
E000295,S2278,C110,2024-08-15,completed,99
E000296,S0425,C016,2025-02-18,completed,57
E000297,S1712,C037,2025-05-14,completed,15
E000298,S4871,C122,2025-06-20,in_progress,43
E000299,S4674,C062,2024-12-06,in_progress,8
E000300,S2530,C136,2024-04-14,enrolled,83
E000301,S4605,C018,2023-05-07,completed,66
E000302,S2791,C133,2025-10-01,enrolled,46
E000303,S1920,C028,2025-07-14,completed,23
E000304,S4520,C149,2025-09-01,enrolled,0
E000305,S0473,C107,2024-09-14,enrolled,16
E000306,S2899,C078,2024-11-04,enrolled,56
E000307,S2355,C073,2025-09-22,in_progress,92
E000308,S1873,C077,2023-12-07,enrolled,6
E000309,S3159,C108,2025-10-05,completed,81
E000310,S0844,C011,2024-11-10,enrolled,41
E000311,S1816,C137,2025-07-06,completed,72
E000312,S3477,C094,2025-04-08,enrolled,30
E000313,S2479,C096,2025-02-21,completed,55
E000314,S3003,C011,2025-03-30,in_progress,2
E000315,S4554,C170,2022-10-08,dropped,11
E000316,S3055,C165,2025-03-19,enrolled,99
E000317,S0876,C095,2025-02-17,completed,63
E000318,S4780,C061,2025-04-08,completed,35
E000319,S4887,C115,2025-08-22,completed,89
E000320,S4485,C082,2022-02-27,completed,64
E000321,S1841,C054,2025-04-15,completed,53
E000322,S3913,C193,2023-07-12,in_progress,43
E000323,S1169,C032,2025-09-30,dropped,17
E000324,S2533,C074,2024-05-06,enrolled,73
E000325,S2274,C045,2023-09-01,enrolled,4
E000326,S3688,C082,2025-08-03,in_progress,92
E000327,S3537,C059,2024-06-24,enrolled,43
E000328,S4407,C028,2022-03-07,enrolled,55
E000329,S3963,C014,2025-08-04,dropped,33
E000330,S4501,C193,2025-08-31,completed,98
E000331,S4399,C035,2025-08-28,in_progress,80
E000332,S2918,C022,2025-05-16,enrolled,40
E000333,S2983,C175,2022-10-25,enrolled,31
E000334,S2751,C200,2022-01-26,dropped,20
E000335,S4527,C125,2025-07-07,enrolled,73
E000336,S0885,C125,2024-12-03,enrolled,18
E000337,S3893,C175,2024-12-29,in_progress,2
E000338,S0558,C064,2024-07-22,completed,54
E000339,S3040,C136,2024-12-09,enrolled,83
E000340,S4594,C196,2023-08-21,dropped,35
E000341,S2634,C021,2025-10-15,in_progress,15
E000342,S3252,C107,2024-11-09,completed,79
E000343,S3845,C132,2025-10-12,completed,66
E000344,S1232,C102,2025-03-30,enrolled,26
E000345,S2474,C053,2024-11-04,in_progress,68
E000346,S1264,C063,2024-05-31,enrolled,30
E000347,S0029,C111,2025-09-10,dropped,49
E000348,S0390,C034,2025-09-16,enrolled,90
E000349,S1636,C041,2025-05-27,in_progress,0
E000350,S1653,C106,2023-03-17,enrolled,52
E000351,S1512,C029,2025-06-08,completed,37
E000352,S2551,C141,2022-07-14,completed,24
E000353,S2254,C036,2023-04-13,completed,0
E000354,S2143,C010,2025-09-15,enrolled,100
E000355,S1872,C053,2025-09-11,completed,63
E000356,S3256,C114,2025-05-19,enrolled,31
E000357,S4488,C108,2024-09-11,in_progress,83
E000358,S4647,C168,2025-10-24,enrolled,78
E000359,S3327,C037,2023-04-20,in_progress,23
E000360,S2513,C025,2025-03-15,in_progress,97
E000361,S1340,C193,2023-11-08,enrolled,43
E000362,S0535,C021,2024-01-08,enrolled,70
E000363,S3265,C007,2025-07-24,in_progress,76
E000364,S3635,C063,2025-10-03,completed,8
E000365,S1237,C188,2023-04-23,dropped,24
E000366,S2752,C030,2025-01-24,in_progress,58
E000367,S0663,C121,2025-10-02,enrolled,95
E000368,S3097,C090,2025-05-18,enrolled,65
E000369,S2432,C167,2023-04-21,completed,91
E000370,S0943,C155,2025-05-28,completed,85
E000371,S0699,C099,2024-07-24,completed,32
E000372,S4177,C031,2022-03-05,dropped,41
E000373,S0297,C072,2025-01-27,completed,100
E000374,S4805,C162,2025-03-23,enrolled,72
E000375,S4490,C066,2022-10-11,in_progress,35
E000376,S3245,C089,2025-09-14,completed,47
E000377,S2245,C089,2025-05-26,completed,27
E000378,S0642,C086,2024-05-17,completed,40
E000379,S4227,C112,2023-09-26,enrolled,96
E000380,S1957,C110,2025-05-11,dropped,19
E000381,S4754,C063,2025-08-21,in_progress,12
E000382,S0631,C193,2025-07-11,enrolled,54
E000383,S2540,C191,2025-10-09,enrolled,17
E000384,S0030,C036,2025-03-14,enrolled,15
E000385,S2267,C040,2022-05-01,in_progress,13
E000386,S4044,C073,2025-01-14,completed,70
E000387,S3862,C072,2024-08-11,completed,19
E000388,S1123,C146,2025-03-31,enrolled,71
E000389,S1541,C199,2022-07-11,in_progress,83
E000390,S3861,C036,2022-08-23,enrolled,85
E000391,S1956,C006,2023-08-28,enrolled,84
E000392,S4466,C182,2025-02-21,enrolled,73
E000393,S2080,C092,2025-09-15,enrolled,49
E000394,S0380,C154,2023-03-08,in_progress,78
E000395,S4256,C081,2024-02-04,enrolled,85
E000396,S1042,C002,2025-03-05,enrolled,19
E000397,S4863,C161,2025-05-17,enrolled,96
E000398,S2865,C109,2024-08-05,enrolled,36
E000399,S0172,C119,2022-07-27,enrolled,5
E000400,S0737,C122,2025-05-22,enrolled,7
E000401,S0260,C111,2023-11-25,in_progress,54
E000402,S3956,C124,2025-10-14,enrolled,30
E000403,S0180,C027,2024-10-22,in_progress,47
E000404,S0676,C054,2024-05-20,dropped,39
E000405,S3039,C139,2025-02-19,completed,86
E000406,S1158,C060,2022-04-18,enrolled,98
E000407,S3896,C085,2022-02-18,enrolled,75
E000408,S1797,C163,2024-12-04,completed,62
E000409,S1590,C106,2023-04-07,in_progress,63
E000410,S2392,C177,2024-06-03,completed,32
E000411,S1108,C015,2024-12-16,enrolled,56
E000412,S3534,C083,2025-07-29,in_progress,34
E000413,S1379,C003,2025-10-08,dropped,44
E000414,S2865,C167,2024-08-12,enrolled,1
E000415,S1283,C188,2024-06-08,enrolled,79
E000416,S4919,C060,2025-06-16,enrolled,16
E000417,S3195,C152,2024-09-04,in_progress,46
E000418,S1846,C080,2024-01-04,enrolled,12
E000419,S0984,C089,2025-05-05,enrolled,45
E000420,S3713,C157,2025-08-20,completed,40
E000421,S4488,C121,2025-05-15,enrolled,33
E000422,S0485,C181,2021-12-15,enrolled,19
E000423,S0433,C038,2022-02-17,enrolled,62
E000424,S1796,C090,2025-07-27,enrolled,95
E000425,S0733,C137,2025-04-10,in_progress,66
E000426,S4559,C108,2023-06-14,completed,12
E000427,S0740,C100,2022-12-09,dropped,28
E000428,S0578,C098,2024-11-23,completed,57
E000429,S3365,C093,2024-03-15,enrolled,28
E000430,S3960,C101,2025-03-30,enrolled,72
E000431,S0301,C189,2023-08-01,enrolled,68
E000432,S3510,C157,2024-10-13,completed,37
E000433,S0160,C040,2025-05-21,completed,66
E000434,S3152,C003,2024-08-03,enrolled,48
E000435,S2197,C160,2025-10-15,enrolled,94
E000436,S2512,C138,2025-07-14,completed,52
E000437,S4109,C026,2025-07-10,completed,19
E000438,S2195,C056,2025-09-01,enrolled,55
E000439,S4979,C136,2025-08-30,completed,71
E000440,S2035,C140,2025-10-14,in_progress,62
E000441,S4914,C110,2023-11-07,dropped,37
E000442,S2680,C193,2025-06-17,in_progress,70
E000443,S3808,C102,2025-05-24,in_progress,77
E000444,S2862,C085,2024-08-29,in_progress,99
E000445,S1335,C126,2025-03-05,enrolled,49
E000446,S1074,C131,2024-02-02,enrolled,88
E000447,S1708,C083,2025-04-01,completed,1
E000448,S1710,C170,2021-05-09,in_progress,51
E000449,S1853,C073,2023-05-10,completed,57
E000450,S3061,C137,2025-08-23,in_progress,51
E000451,S2075,C060,2025-10-05,enrolled,69
E000452,S2854,C029,2025-09-29,completed,20
E000453,S0510,C146,2025-07-31,completed,28
E000454,S1730,C010,2025-03-22,in_progress,73
E000455,S2873,C144,2023-09-05,enrolled,48
E000456,S3954,C154,2025-06-12,completed,46
E000457,S3209,C168,2025-10-24,in_progress,16
E000458,S2671,C168,2023-08-23,enrolled,10
E000459,S4324,C058,2023-11-04,in_progress,48
E000460,S2243,C045,2023-11-28,enrolled,99
E000461,S3215,C131,2025-05-05,in_progress,24
E000462,S4205,C066,2024-04-08,enrolled,38
E000463,S1709,C116,2025-02-10,in_progress,15
E000464,S0875,C119,2024-09-15,enrolled,14
E000465,S4412,C114,2025-08-17,in_progress,19
E000466,S0916,C189,2025-09-04,completed,8
E000467,S1055,C181,2024-11-22,in_progress,41
E000468,S1677,C006,2025-06-18,dropped,4
E000469,S2032,C034,2025-08-06,enrolled,7
E000470,S1623,C188,2023-07-15,enrolled,13
E000471,S2079,C161,2025-09-15,enrolled,22
E000472,S0356,C069,2025-10-27,completed,69
E000473,S1757,C194,2025-09-19,completed,79
E000474,S4760,C124,2023-11-17,in_progress,36
E000475,S3247,C188,2025-10-06,enrolled,79
E000476,S3918,C122,2025-08-08,completed,57
E000477,S3867,C161,2023-04-06,completed,32
E000478,S3633,C088,2025-04-21,completed,40
E000479,S4967,C113,2025-02-03,enrolled,0
E000480,S2498,C083,2022-08-02,dropped,11
E000481,S0249,C125,2023-03-23,enrolled,60
E000482,S3236,C014,2023-05-26,enrolled,56
E000483,S1663,C090,2023-02-10,completed,75
E000484,S4284,C119,2025-04-02,enrolled,9
E000485,S4838,C078,2025-07-22,in_progress,75
E000486,S1749,C101,2025-04-18,enrolled,63
E000487,S4542,C144,2024-03-24,completed,44
E000488,S0405,C084,2025-03-19,enrolled,79
E000489,S1304,C059,2021-08-17,enrolled,99
E000490,S1236,C193,2025-10-05,in_progress,44
E000491,S2279,C167,2025-04-04,completed,10
E000492,S4367,C074,2024-12-31,in_progress,24
E000493,S2550,C061,2024-06-07,enrolled,2
E000494,S4437,C160,2025-09-19,completed,4
E000495,S3660,C091,2022-11-16,in_progress,55
E000496,S1044,C066,2025-10-16,enrolled,16
E000497,S1695,C024,2025-06-12,enrolled,74
E000498,S0062,C046,2024-05-19,enrolled,98
E000499,S0639,C084,2025-07-09,completed,4
E000500,S1665,C038,2025-02-22,enrolled,91
E000501,S2072,C060,2024-03-30,in_progress,67
E000502,S0159,C126,2024-07-27,enrolled,24
E000503,S4669,C066,2025-09-18,in_progress,17
E000504,S1221,C090,2024-09-19,in_progress,92
E000505,S2253,C129,2025-03-05,in_progress,59
E000506,S1645,C199,2025-07-27,in_progress,92
E000507,S1022,C107,2025-10-04,enrolled,47
E000508,S0019,C127,2025-01-01,completed,61
E000509,S0995,C195,2025-09-01,completed,47
E000510,S3802,C088,2025-08-06,completed,49
E000511,S1667,C069,2023-06-03,completed,20
E000512,S3920,C196,2024-06-03,dropped,16
E000513,S3498,C058,2023-01-20,dropped,7
E000514,S0308,C024,2025-03-13,completed,42
E000515,S0695,C010,2025-05-09,completed,35
E000516,S2677,C079,2023-11-11,enrolled,71
E000517,S1773,C115,2021-10-21,completed,26
E000518,S1957,C099,2024-11-17,enrolled,76
E000519,S2533,C173,2024-08-21,completed,68
E000520,S3022,C031,2024-12-29,enrolled,39
E000521,S2000,C192,2025-01-06,in_progress,83
E000522,S4089,C128,2021-11-01,completed,55
E000523,S4308,C146,2023-02-27,enrolled,46
E000524,S4543,C186,2025-10-25,enrolled,21
E000525,S4529,C036,2025-03-17,in_progress,78
E000526,S1773,C066,2024-01-13,enrolled,52
E000527,S1880,C170,2025-05-09,completed,80
E000528,S0203,C042,2025-02-20,completed,32
E000529,S3310,C077,2025-06-29,enrolled,13
E000530,S3974,C194,2024-09-17,enrolled,84
E000531,S0015,C104,2023-05-13,enrolled,44
E000532,S2325,C120,2024-11-28,enrolled,70
E000533,S4123,C021,2025-05-08,enrolled,92
E000534,S4089,C102,2025-01-20,enrolled,47
E000535,S2749,C105,2022-07-22,enrolled,94
E000536,S3452,C070,2025-09-22,in_progress,69
E000537,S2739,C134,2024-10-04,in_progress,84
E000538,S4606,C118,2025-09-07,completed,79
E000539,S0282,C046,2025-08-29,completed,70
E000540,S1257,C084,2025-02-25,dropped,32
E000541,S1542,C124,2024-03-14,in_progress,30
E000542,S0922,C070,2024-10-12,enrolled,24
E000543,S1919,C039,2025-02-06,completed,47
E000544,S3732,C113,2025-09-29,completed,79
E000545,S0968,C048,2022-11-01,enrolled,60
E000546,S2998,C200,2025-04-10,enrolled,62
E000547,S0917,C192,2023-03-17,completed,92
E000548,S3653,C158,2024-02-15,in_progress,59
E000549,S1919,C102,2024-03-20,enrolled,38
E000550,S4520,C029,2024-12-05,enrolled,53
E000551,S1320,C090,2025-10-11,enrolled,15
E000552,S3954,C043,2024-09-28,enrolled,25
E000553,S3703,C108,2025-08-24,enrolled,11
E000554,S4230,C077,2024-04-05,enrolled,68
E000555,S3434,C005,2025-07-04,enrolled,3
E000556,S3447,C140,2025-09-08,enrolled,93
E000557,S3930,C150,2025-10-19,enrolled,41
E000558,S1695,C040,2025-05-25,enrolled,51
E000559,S3914,C185,2025-01-30,completed,36
E000560,S1898,C165,2024-02-13,completed,44
E000561,S4062,C080,2025-10-25,enrolled,95
E000562,S0053,C007,2025-05-17,enrolled,35
E000563,S0738,C117,2025-10-18,enrolled,41
E000564,S4702,C156,2025-10-09,in_progress,24
E000565,S4378,C171,2023-08-17,in_progress,12
E000566,S2038,C001,2025-10-07,enrolled,99
E000567,S3452,C050,2025-07-12,enrolled,19
E000568,S0611,C082,2023-09-26,completed,6
E000569,S4808,C060,2025-02-02,enrolled,4
E000570,S1359,C097,2025-07-12,enrolled,41
E000571,S4897,C052,2025-07-15,enrolled,47
E000572,S2839,C127,2024-05-10,enrolled,96
